date,day,dow,region,channel,platform,offered,handled,handled_in_sl,abandoned,asa_s,sl_pct,aht_elapsed_s,aht_agent_work_s,version,actor
2026-08-01,13,Sat,North,voice,Meridian,12,12,12,0,13,100,1974,1974,v001,agent:DataEngineer
2026-08-01,13,Sat,North,chat,Meridian,24,23,23,1,51,95.8,1136,568,v001,agent:DataEngineer
2026-08-01,13,Sat,North,email,Meridian,7,7,7,0,2284,100,453,453,v001,agent:DataEngineer
2026-08-02,14,Sun,North,voice,Meridian,17,17,16,0,11,94.1,1985,1985,v001,agent:DataEngineer
2026-08-02,14,Sun,North,chat,Meridian,35,34,34,1,46,97.1,1087,543,v001,agent:DataEngineer
2026-08-02,14,Sun,North,email,Meridian,10,10,10,0,2480,100,439,439,v001,agent:DataEngineer
2026-08-03,15,Mon,North,voice,Meridian,32,31,31,1,13,96.9,1873,1873,v001,agent:DataEngineer
2026-08-03,15,Mon,North,chat,Meridian,66,63,61,3,52,92.4,1031,516,v001,agent:DataEngineer
2026-08-03,15,Mon,North,email,Meridian,19,19,18,0,2352,94.7,507,507,v001,agent:DataEngineer
2026-08-04,16,Tue,North,voice,Meridian,32,31,30,1,15,93.8,2037,2037,v001,agent:DataEngineer
2026-08-04,16,Tue,North,chat,Meridian,64,62,60,2,52,93.8,1136,568,v001,agent:DataEngineer
2026-08-04,16,Tue,North,email,Meridian,19,19,19,0,2265,100,464,464,v001,agent:DataEngineer
2026-08-05,17,Wed,North,voice,Meridian,27,26,26,1,14,96.3,1841,1841,v001,agent:DataEngineer
2026-08-05,17,Wed,North,chat,Meridian,55,53,53,2,47,96.4,1148,574,v001,agent:DataEngineer
2026-08-05,17,Wed,North,email,Meridian,16,16,16,0,2590,100,482,482,v001,agent:DataEngineer
2026-08-06,18,Thu,North,voice,Meridian,27,26,26,1,12,96.3,1973,1973,v001,agent:DataEngineer
2026-08-06,18,Thu,North,chat,Meridian,55,53,53,2,40,96.4,1086,543,v001,agent:DataEngineer
2026-08-06,18,Thu,North,email,Meridian,16,16,15,0,2446,93.8,446,446,v001,agent:DataEngineer
2026-08-07,19,Fri,North,voice,Meridian,27,26,26,1,12,96.3,2035,2035,v001,agent:DataEngineer
2026-08-07,19,Fri,North,chat,Meridian,55,53,53,2,42,96.4,1026,513,v001,agent:DataEngineer
2026-08-07,19,Fri,North,email,Meridian,16,16,16,0,2645,100,458,458,v001,agent:DataEngineer
2026-08-08,20,Sat,North,voice,Meridian,14,14,14,0,13,100,2037,2037,v001,agent:DataEngineer
2026-08-08,20,Sat,North,chat,Meridian,29,28,28,1,50,96.6,1087,543,v001,agent:DataEngineer
2026-08-08,20,Sat,North,email,Meridian,8,8,8,0,2675,100,434,434,v001,agent:DataEngineer
2026-08-09,21,Sun,North,voice,Meridian,14,14,14,0,11,100,1859,1859,v001,agent:DataEngineer
2026-08-09,21,Sun,North,chat,Meridian,29,28,28,1,44,96.6,1116,558,v001,agent:DataEngineer
2026-08-09,21,Sun,North,email,Meridian,8,8,8,0,2303,100,451,451,v001,agent:DataEngineer
2026-08-10,22,Mon,North,voice,Meridian,30,29,29,1,11,96.7,1884,1884,v001,agent:DataEngineer
2026-08-10,22,Mon,North,chat,Meridian,60,58,58,2,39,96.7,1145,573,v001,agent:DataEngineer
2026-08-10,22,Mon,North,email,Meridian,17,17,16,0,2625,94.1,446,446,v001,agent:DataEngineer
2026-08-11,23,Tue,North,voice,Meridian,34,33,33,1,14,97.1,1999,1999,v001,agent:DataEngineer
2026-08-11,23,Tue,North,chat,Meridian,68,65,63,3,51,92.6,1078,539,v001,agent:DataEngineer
2026-08-11,23,Tue,North,email,Meridian,20,20,19,0,2117,95,458,458,v001,agent:DataEngineer
2026-08-12,24,Wed,North,voice,Meridian,29,28,28,1,13,96.6,2053,2053,v001,agent:DataEngineer
2026-08-12,24,Wed,North,chat,Meridian,59,57,57,2,47,96.6,1103,551,v001,agent:DataEngineer
2026-08-12,24,Wed,North,email,Meridian,17,17,17,0,2207,100,476,476,v001,agent:DataEngineer
2026-08-13,25,Thu,North,voice,Meridian,32,31,31,1,15,96.9,2130,2130,v001,agent:DataEngineer
2026-08-13,25,Thu,North,chat,Meridian,64,62,62,2,48,96.9,1111,555,v001,agent:DataEngineer
2026-08-13,25,Thu,North,email,Meridian,18,18,18,0,2264,100,474,474,v001,agent:DataEngineer
2026-08-14,26,Fri,North,voice,Meridian,26,25,25,1,14,96.2,1801,1801,v001,agent:DataEngineer
2026-08-14,26,Fri,North,chat,Meridian,53,51,51,2,42,96.2,1028,514,v001,agent:DataEngineer
2026-08-14,26,Fri,North,email,Meridian,15,15,15,0,2539,100,479,479,v001,agent:DataEngineer
2026-08-15,27,Sat,North,voice,Meridian,14,14,13,0,14,92.9,1829,1829,v001,agent:DataEngineer
2026-08-15,27,Sat,North,chat,Meridian,28,27,26,1,49,92.9,1065,533,v001,agent:DataEngineer
2026-08-15,27,Sat,North,email,Meridian,8,8,8,0,2630,100,471,471,v001,agent:DataEngineer
2026-08-16,28,Sun,North,voice,Meridian,15,15,15,0,12,100,1942,1942,v001,agent:DataEngineer
2026-08-16,28,Sun,North,chat,Meridian,31,30,30,1,45,96.8,1127,563,v001,agent:DataEngineer
2026-08-16,28,Sun,North,email,Meridian,9,9,9,0,2225,100,482,482,v001,agent:DataEngineer
2026-08-17,29,Mon,North,voice,Meridian,33,32,32,1,11,97,2070,2070,v001,agent:DataEngineer
2026-08-17,29,Mon,North,chat,Meridian,67,64,61,3,50,91,1073,536,v001,agent:DataEngineer
2026-08-17,29,Mon,North,email,Meridian,19,19,19,0,2077,100,460,460,v001,agent:DataEngineer
2026-08-18,30,Tue,North,voice,Meridian,32,31,31,1,12,96.9,1953,1953,v001,agent:DataEngineer
2026-08-18,30,Tue,North,chat,Meridian,63,61,59,2,49,93.7,1169,584,v001,agent:DataEngineer
2026-08-18,30,Tue,North,email,Meridian,18,18,18,0,2539,100,442,442,v001,agent:DataEngineer
2026-08-19,31,Wed,North,voice,Meridian,34,33,31,1,17,91.2,2034,2034,v001,agent:DataEngineer
2026-08-19,31,Wed,North,chat,Meridian,69,67,66,2,49,95.7,1099,550,v001,agent:DataEngineer
2026-08-19,31,Wed,North,email,Meridian,20,20,20,0,2321,100,460,460,v001,agent:DataEngineer
2026-08-20,32,Thu,North,voice,Meridian,28,27,26,1,15,92.9,1945,1945,v001,agent:DataEngineer
2026-08-20,32,Thu,North,chat,Meridian,57,55,55,2,48,96.5,1115,558,v001,agent:DataEngineer
2026-08-20,32,Thu,North,email,Meridian,17,17,17,0,2380,100,449,449,v001,agent:DataEngineer
2026-08-21,33,Fri,North,voice,Meridian,27,26,26,1,15,96.3,1953,1953,v001,agent:DataEngineer
2026-08-21,33,Fri,North,chat,Meridian,54,52,51,2,57,94.4,1105,553,v001,agent:DataEngineer
2026-08-21,33,Fri,North,email,Meridian,16,16,16,0,2646,100,454,454,v001,agent:DataEngineer
2026-08-22,34,Sat,North,voice,Meridian,15,15,14,0,15,93.3,2026,2026,v001,agent:DataEngineer
2026-08-22,34,Sat,North,chat,Meridian,30,29,29,1,43,96.7,1053,527,v001,agent:DataEngineer
2026-08-22,34,Sat,North,email,Meridian,9,9,9,0,2413,100,467,467,v001,agent:DataEngineer
2026-08-23,35,Sun,North,voice,Meridian,14,14,14,0,10,100,1975,1975,v001,agent:DataEngineer
2026-08-23,35,Sun,North,chat,Meridian,29,28,27,1,46,93.1,1067,533,v001,agent:DataEngineer
2026-08-23,35,Sun,North,email,Meridian,8,8,8,0,2624,100,483,483,v001,agent:DataEngineer
2026-08-24,36,Mon,North,voice,Meridian,38,37,37,1,11,97.4,1969,1969,v001,agent:DataEngineer
2026-08-24,36,Mon,North,chat,Meridian,76,73,70,3,54,92.1,1048,519,v001,agent:DataEngineer
2026-08-24,36,Mon,North,email,Meridian,22,22,21,0,2192,95.5,447,447,v001,agent:DataEngineer
2026-08-25,37,Tue,North,voice,Meridian,31,30,28,1,18,90.3,1892,1892,v001,agent:DataEngineer
2026-08-25,37,Tue,East,voice,Meridian,27,26,25,1,18,92.6,1892,1892,v001,agent:DataEngineer
2026-08-25,37,Tue,North,chat,Meridian,64,60,54,4,86,84.4,1336,555,v001,agent:DataEngineer
2026-08-25,37,Tue,East,chat,Meridian,54,51,45,3,86,83.3,1336,555,v001,agent:DataEngineer
2026-08-25,37,Tue,North,email,Meridian,18,18,17,0,2559,94.4,456,456,v001,agent:DataEngineer
2026-08-25,37,Tue,East,email,Meridian,16,16,15,0,2559,93.8,456,456,v001,agent:DataEngineer
2026-08-26,38,Wed,North,voice,Meridian,34,33,30,1,21,88.2,1939,1939,v001,agent:DataEngineer
2026-08-26,38,Wed,East,voice,Meridian,29,28,26,1,21,89.7,1939,1939,v001,agent:DataEngineer
2026-08-26,38,Wed,North,chat,Meridian,69,62,47,7,182,68.1,1445,573,v001,agent:DataEngineer
2026-08-26,38,Wed,East,chat,Meridian,58,53,41,5,182,70.7,1445,573,v001,agent:DataEngineer
2026-08-26,38,Wed,North,email,Meridian,20,20,18,0,2796,90,457,457,v001,agent:DataEngineer
2026-08-26,38,Wed,East,email,Meridian,16,16,15,0,2796,93.8,457,457,v001,agent:DataEngineer
2026-08-27,39,Thu,North,voice,Meridian,30,29,28,1,13,93.3,1875,1875,v001,agent:DataEngineer
2026-08-27,39,Thu,East,voice,Meridian,27,26,26,1,13,96.3,1875,1875,v001,agent:DataEngineer
2026-08-27,39,Thu,North,chat,Meridian,59,56,51,3,70,86.4,1339,571,v001,agent:DataEngineer
2026-08-27,39,Thu,East,chat,Meridian,51,49,45,2,70,88.2,1339,571,v001,agent:DataEngineer
2026-08-27,39,Thu,North,email,Meridian,17,17,16,0,2915,94.1,470,470,v001,agent:DataEngineer
