date,day,dow,platform,contacts,active_travelers,contacts_per_traveler_day,transactions_migrated_regions,contacts_per_transaction,version,actor
2026-11-01,105,Sun,Meridian,144,124,1.155,111,1.297,v001,agent:DataEngineer
2026-11-02,106,Mon,Meridian,248,217,1.135,266,0.932,v001,agent:DataEngineer
2026-11-03,107,Tue,Meridian,306,273,1.156,286,1.07,v001,agent:DataEngineer
2026-11-04,108,Wed,Meridian,287,246,1.149,265,1.083,v001,agent:DataEngineer
2026-11-05,109,Thu,Meridian,253,231,1.09,251,1.008,v001,agent:DataEngineer
2026-11-06,110,Fri,Meridian,248,214,1.075,220,1.127,v001,agent:DataEngineer
2026-11-07,111,Sat,Meridian,106,91,1.1,91,1.165,v001,agent:DataEngineer
2026-11-08,112,Sun,Meridian,143,117,1.184,106,1.349,v001,agent:DataEngineer
2026-11-09,113,Mon,Meridian,257,221,1.179,256,1.004,v001,agent:DataEngineer
2026-11-10,114,Tue,Meridian,306,264,1.152,264,1.159,v001,agent:DataEngineer
2026-11-11,115,Wed,Meridian,292,256,1.132,256,1.141,v001,agent:DataEngineer
2026-11-12,116,Thu,Meridian,259,228,1.197,240,1.079,v001,agent:DataEngineer
2026-11-13,117,Fri,Meridian,205,175,1.126,205,1,v001,agent:DataEngineer
2026-11-14,118,Sat,Meridian,113,99,1.117,94,1.202,v001,agent:DataEngineer
2026-11-15,119,Sun,Meridian,118,103,1.128,94,1.255,v001,agent:DataEngineer
2026-11-16,120,Mon,Meridian,275,228,1.136,257,1.07,v001,agent:DataEngineer
