date,day,dow,region,channel,platform,offered,handled,handled_in_sl,abandoned,asa_s,sl_pct,aht_elapsed_s,aht_agent_work_s,version,actor
2026-11-01,105,Sun,North,voice,Meridian,21,20,20,1,15,95.2,1901,1901,v001,agent:DataEngineer
2026-11-01,105,Sun,East,voice,Meridian,20,20,20,0,15,100,1901,1901,v001,agent:DataEngineer
2026-11-01,105,Sun,North,chat,Meridian,41,40,40,1,45,97.6,996,498,v001,agent:DataEngineer
2026-11-01,105,Sun,East,chat,Meridian,39,38,38,1,45,97.4,996,498,v001,agent:DataEngineer
2026-11-01,105,Sun,North,email,Meridian,12,12,11,0,2658,91.7,481,481,v001,agent:DataEngineer
2026-11-01,105,Sun,East,email,Meridian,11,11,11,0,2658,100,481,481,v001,agent:DataEngineer
2026-11-02,106,Mon,North,voice,Meridian,39,38,37,1,12,94.9,1713,1713,v001,agent:DataEngineer
2026-11-02,106,Mon,East,voice,Meridian,31,30,30,1,12,96.8,1713,1713,v001,agent:DataEngineer
2026-11-02,106,Mon,North,chat,Meridian,76,73,71,3,54,93.4,1084,542,v001,agent:DataEngineer
2026-11-02,106,Mon,East,chat,Meridian,62,60,58,2,54,93.5,1084,542,v001,agent:DataEngineer
2026-11-02,106,Mon,North,email,Meridian,22,22,22,0,2247,100,495,495,v001,agent:DataEngineer
2026-11-02,106,Mon,East,email,Meridian,18,18,18,0,2247,100,495,495,v001,agent:DataEngineer
2026-11-03,107,Tue,North,voice,Meridian,46,45,44,1,12,95.7,1975,1975,v001,agent:DataEngineer
2026-11-03,107,Tue,East,voice,Meridian,40,39,39,1,12,97.5,1975,1975,v001,agent:DataEngineer
2026-11-03,107,Tue,North,chat,Meridian,91,88,86,3,49,94.5,1033,516,v001,agent:DataEngineer
2026-11-03,107,Tue,East,chat,Meridian,80,77,76,3,49,95,1033,516,v001,agent:DataEngineer
2026-11-03,107,Tue,North,email,Meridian,26,26,25,0,2306,96.2,499,499,v001,agent:DataEngineer
2026-11-03,107,Tue,East,email,Meridian,23,23,23,0,2306,100,499,499,v001,agent:DataEngineer
2026-11-04,108,Wed,North,voice,Meridian,42,41,41,1,11,97.6,1882,1882,v001,agent:DataEngineer
2026-11-04,108,Wed,East,voice,Meridian,39,38,38,1,11,97.4,1882,1882,v001,agent:DataEngineer
2026-11-04,108,Wed,North,chat,Meridian,82,79,79,3,45,96.3,1043,521,v001,agent:DataEngineer
2026-11-04,108,Wed,East,chat,Meridian,78,76,76,2,45,97.4,1043,521,v001,agent:DataEngineer
2026-11-04,108,Wed,North,email,Meridian,24,24,23,0,2848,95.8,461,461,v001,agent:DataEngineer
2026-11-04,108,Wed,East,email,Meridian,22,22,21,0,2848,95.5,461,461,v001,agent:DataEngineer
2026-11-05,109,Thu,North,voice,Meridian,39,38,37,1,13,94.9,1805,1805,v001,agent:DataEngineer
2026-11-05,109,Thu,East,voice,Meridian,32,31,31,1,13,96.9,1805,1805,v001,agent:DataEngineer
2026-11-05,109,Thu,North,chat,Meridian,77,75,75,2,42,97.4,1086,543,v001,agent:DataEngineer
2026-11-05,109,Thu,East,chat,Meridian,64,62,62,2,42,96.9,1086,543,v001,agent:DataEngineer
2026-11-05,109,Thu,North,email,Meridian,22,22,21,0,2484,95.5,469,469,v001,agent:DataEngineer
2026-11-05,109,Thu,East,email,Meridian,19,19,19,0,2484,100,469,469,v001,agent:DataEngineer
2026-11-06,110,Fri,North,voice,Meridian,38,37,37,1,13,97.4,1698,1698,v001,agent:DataEngineer
2026-11-06,110,Fri,East,voice,Meridian,31,30,30,1,13,96.8,1698,1698,v001,agent:DataEngineer
2026-11-06,110,Fri,North,chat,Meridian,76,73,71,3,57,93.4,1108,554,v001,agent:DataEngineer
2026-11-06,110,Fri,East,chat,Meridian,63,61,59,2,57,93.7,1108,554,v001,agent:DataEngineer
2026-11-06,110,Fri,North,email,Meridian,22,22,21,0,2423,95.5,474,474,v001,agent:DataEngineer
2026-11-06,110,Fri,East,email,Meridian,18,18,18,0,2423,100,474,474,v001,agent:DataEngineer
2026-11-07,111,Sat,North,voice,Meridian,16,15,15,1,11,93.8,1723,1723,v001,agent:DataEngineer
2026-11-07,111,Sat,East,voice,Meridian,14,14,14,0,11,100,1723,1723,v001,agent:DataEngineer
2026-11-07,111,Sat,North,chat,Meridian,31,30,29,1,50,93.5,1076,538,v001,agent:DataEngineer
2026-11-07,111,Sat,East,chat,Meridian,28,27,27,1,50,96.4,1076,538,v001,agent:DataEngineer
2026-11-07,111,Sat,North,email,Meridian,9,9,8,0,2802,88.9,460,460,v001,agent:DataEngineer
2026-11-07,111,Sat,East,email,Meridian,8,8,8,0,2802,100,460,460,v001,agent:DataEngineer
2026-11-08,112,Sun,North,voice,Meridian,21,20,20,1,14,95.2,1683,1683,v001,agent:DataEngineer
2026-11-08,112,Sun,East,voice,Meridian,19,19,19,0,14,100,1683,1683,v001,agent:DataEngineer
2026-11-08,112,Sun,North,chat,Meridian,42,41,41,1,45,97.6,1008,504,v001,agent:DataEngineer
2026-11-08,112,Sun,East,chat,Meridian,38,37,37,1,45,97.4,1008,504,v001,agent:DataEngineer
2026-11-08,112,Sun,North,email,Meridian,12,12,11,0,2474,91.7,469,469,v001,agent:DataEngineer
2026-11-08,112,Sun,East,email,Meridian,11,11,10,0,2474,90.9,469,469,v001,agent:DataEngineer
2026-11-09,113,Mon,North,voice,Meridian,37,36,36,1,12,97.3,1731,1731,v001,agent:DataEngineer
2026-11-09,113,Mon,East,voice,Meridian,34,34,34,0,12,100,1731,1731,v001,agent:DataEngineer
2026-11-09,113,Mon,North,chat,Meridian,76,73,72,3,47,94.7,967,484,v001,agent:DataEngineer
2026-11-09,113,Mon,East,chat,Meridian,68,66,65,2,47,95.6,967,484,v001,agent:DataEngineer
2026-11-09,113,Mon,North,email,Meridian,22,22,21,0,2502,95.5,489,489,v001,agent:DataEngineer
2026-11-09,113,Mon,East,email,Meridian,20,20,20,0,2502,100,489,489,v001,agent:DataEngineer
2026-11-10,114,Tue,North,voice,Meridian,47,46,45,1,17,95.7,1807,1807,v001,agent:DataEngineer
2026-11-10,114,Tue,East,voice,Meridian,38,37,36,1,17,94.7,1807,1807,v001,agent:DataEngineer
2026-11-10,114,Tue,North,chat,Meridian,95,92,89,3,63,93.7,1067,533,v001,agent:DataEngineer
