date,day,dow,platform,contacts,active_travelers,contacts_per_traveler_day,transactions_migrated_regions,contacts_per_transaction,version,actor
2026-08-01,13,Sat,Meridian,43,38,1.132,36,1.194,v001,agent:DataEngineer
2026-08-02,14,Sun,Meridian,62,53,1.117,42,1.476,v001,agent:DataEngineer
2026-08-03,15,Mon,Meridian,117,103,1.168,115,1.017,v001,agent:DataEngineer
2026-08-04,16,Tue,Meridian,115,98,1.133,112,1.027,v001,agent:DataEngineer
2026-08-05,17,Wed,Meridian,98,85,1.192,105,0.933,v001,agent:DataEngineer
2026-08-06,18,Thu,Meridian,98,90,1.202,97,1.01,v001,agent:DataEngineer
2026-08-07,19,Fri,Meridian,98,83,1.157,93,1.054,v001,agent:DataEngineer
2026-08-08,20,Sat,Meridian,51,47,1.134,38,1.342,v001,agent:DataEngineer
2026-08-09,21,Sun,Meridian,51,45,1.181,41,1.244,v001,agent:DataEngineer
2026-08-10,22,Mon,Meridian,107,91,1.172,109,0.982,v001,agent:DataEngineer
2026-08-11,23,Tue,Meridian,122,106,1.205,115,1.061,v001,agent:DataEngineer
2026-08-12,24,Wed,Meridian,105,92,1.151,101,1.04,v001,agent:DataEngineer
2026-08-13,25,Thu,Meridian,114,98,1.184,110,1.036,v001,agent:DataEngineer
2026-08-14,26,Fri,Meridian,94,82,1.115,87,1.08,v001,agent:DataEngineer
2026-08-15,27,Sat,Meridian,50,44,1.148,37,1.351,v001,agent:DataEngineer
2026-08-16,28,Sun,Meridian,55,47,1.179,42,1.31,v001,agent:DataEngineer
2026-08-17,29,Mon,Meridian,119,104,1.21,110,1.082,v001,agent:DataEngineer
2026-08-18,30,Tue,Meridian,113,103,1.142,112,1.009,v001,agent:DataEngineer
2026-08-19,31,Wed,Meridian,123,101,1.223,112,1.098,v001,agent:DataEngineer
2026-08-20,32,Thu,Meridian,102,90,1.076,99,1.03,v001,agent:DataEngineer
2026-08-21,33,Fri,Meridian,97,85,1.118,94,1.032,v001,agent:DataEngineer
2026-08-22,34,Sat,Meridian,54,44,1.215,39,1.385,v001,agent:DataEngineer
2026-08-23,35,Sun,Meridian,51,44,1.123,41,1.244,v001,agent:DataEngineer
2026-08-24,36,Mon,Meridian,136,118,1.208,114,1.193,v001,agent:DataEngineer
2026-08-25,37,Tue,Meridian,210,180,1.165,225,0.933,v001,agent:DataEngineer
2026-08-26,38,Wed,Meridian,226,188,1.133,210,1.076,v001,agent:DataEngineer
2026-08-27,39,Thu,Meridian,199,175,1.155,203,0.98,v001,agent:DataEngineer
2026-08-28,40,Fri,Meridian,184,167,1.126,173,1.064,v001,agent:DataEngineer
2026-08-29,41,Sat,Meridian,100,86,1.152,76,1.316,v001,agent:DataEngineer
2026-08-30,42,Sun,Meridian,119,100,1.147,87,1.368,v001,agent:DataEngineer
2026-08-31,43,Mon,Meridian,249,210,1.162,228,1.092,v001,agent:DataEngineer
